,datadate,cusip,scf,src,apdedate,fdate,pdate,acchg,acominc,acox,am,ano,ao,aoloch,aox,ap,at,caps,capx,ch,che,cogs,cshi,csho,cstk,dd,dlc,dn,do,dt,ebit,ebitda,epspi,fca,gdwl,gp,ib,intan,invt,lct,lt,ni,niadj,np,pi,pnrsho,ppegt,ppent,re,revt,sale,seq,teq,tstk,txt,wcap,naicsh,mkvalt,Seq. No.,Code,Industry
2079,2016-01-31,09072X309,7.0,5.0,2016-01-31,2016-06-08,2016-04-27,0.0,0.0,0.285,0.03,,0.085,1.194,0.085,1.777,4.851,28.261,0.038,4.039,4.039,0.151,25.209,25.209,0.025,0.0,0.0,0.0,0.0,0.0,-15.158,-15.072,-0.89,,0.0,-0.087,-15.598,0.119,0.1,2.797,2.797,-15.598,-16.001,0.0,-15.594,0.0,0.304,0.216,-26.232,0.064,0.064,2.054,2.054,0.0,0.004,1.634,325412.0,44.872,504.0,325412.0,Pharmaceutical Preparation Manufacturing 
2940,2018-12-31,09073N300,7.0,5.0,2018-12-31,2019-06-03,2019-03-19,0.0,0.0,0.1,,0.0,0.054,-0.096,0.054,0.0,4.997,74.039,0.038,4.45,4.45,0.0,16.869,16.869,0.017,0.0,0.0,0.0,0.0,0.0,-17.262,-17.25,-1.25,,0.0,0.0,-17.251,0.27,0.0,1.198,1.198,-17.251,-18.136,0.0,-17.251,0.0,0.138,0.044,-70.732,0.0,0.0,3.799,3.799,0.0,0.0,3.431,334510.0,72.0306,765.0,334510.0,Electromedical and Electrotherapeutic Apparatus Manufacturing 
24687,2015-12-31,09073Q204,7.0,5.0,2015-12-31,2016-05-13,,0.0,0.003,0.01,0.0,,0.073,-0.003,0.073,0.239,10.598,28.397,0.009,8.588,9.105,0.0,3.377,3.377,0.0,0.0,0.0,0.0,0.0,0.0,-2.519,-2.358,-0.77,0.142,0.0,0.0,-2.617,0.0,0.0,0.436,1.991,-2.617,-2.617,0.0,-2.617,0.0,1.707,0.524,-19.79,0.0,0.0,8.607,8.607,0.0,0.0,9.039,325414.0,,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
23983,2015-12-31,09074D103,7.0,5.0,2015-12-31,2016-04-14,,0.0,16.727,0.58,0.102,,4.391,-1.527,0.375,1.495,156.046,0.0,0.094,50.779,85.834,36.189,13.587,12.228,290.389,0.0,0.0,0.0,0.0,22.535,-31.813,-31.495,-2.52,1.651,7.017,-31.495,-30.756,64.105,0.0,5.419,41.245,-30.756,-30.756,0.0,-30.756,0.0,5.414,0.612,-175.588,4.694,4.694,114.801,114.801,0.0,0.0,81.519,325414.0,,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
572,2013-12-31,09074M202,7.0,5.0,2013-12-31,2014-04-25,,0.0,0.0,0.0,0.0,,0.0,-0.337,0.0,0.244,15.064,16.466,0.295,14.008,14.008,8.681,7.742,7.742,0.077,0.0,0.0,0.0,0.0,0.0,-8.817,-8.659,-1.14,,0.0,-8.659,-8.817,0.0,0.038,0.495,0.495,-8.817,-8.817,0.0,-8.817,0.0,0.823,0.575,-1.974,0.022,0.022,14.569,14.569,0.0,0.0,13.994,339112.0,36.7745,878.0,339112.0,Surgical and Medical Instrument Manufacturing 
4403,2017-12-31,09075E100,7.0,5.0,2017-12-31,2018-03-02,2018-02-13,0.0,0.0,71.8,5.8,0.0,9.4,155.8,9.4,26.1,1618.3,565.2,13.1,436.5,476.5,265.1,108.203,108.203,0.1,0.0,0.0,0.0,0.0,0.0,488.5,503.0,3.29,,170.7,903.4,355.6,806.6,40.6,390.1,720.7,355.6,355.6,0.0,451.9,0.0,48.4,24.0,332.3,1168.5,1168.5,897.6,897.6,0.0,96.3,388.2,325414.0,5834.3058,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
5025,2018-12-31,09075F305,7.0,5.0,2018-12-31,2019-04-29,,0.0,0.0,0.384,0.0,0.0,0.0,-1.049,0.0,1.352,24.802,82.899,0.332,16.522,16.522,6.103,10.055,10.055,0.001,0.0,0.0,0.0,0.0,9.029,-19.128,-17.807,-1.95,,0.0,5.898,-18.496,0.0,1.069,4.523,14.665,-18.496,-18.496,0.0,-18.481,0.0,6.939,1.777,-72.763,12.001,12.001,10.137,10.137,0.0,0.015,18.502,339112.0,52.6882,878.0,339112.0,Surgical and Medical Instrument Manufacturing 
24564,2018-12-31,09075G105,7.0,53.0,2018-12-31,2019-05-22,,0.0,-0.002,0.265,,,11.907,3.855,11.907,2.068,44.803,134.078,0.587,22.269,22.269,5.079,22.316,22.316,51.099,0.0,0.189,11.449,0.0,15.602,-21.155,-20.292,-0.46,-0.744,0.0,19.086,-10.164,0.403,3.637,8.896,26.077,-10.164,-10.164,0.0,-22.061,0.0,4.697,0.909,-166.451,24.165,24.165,18.726,18.726,0.0,-11.897,22.688,325414.0,,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
4938,2018-12-31,09075P105,7.0,5.0,2018-12-31,2019-04-17,2019-03-19,0.0,0.0,0.491,0.0,,0.051,-0.539,0.051,1.604,43.549,62.593,0.34,42.565,42.565,0.0,15.663,15.663,0.016,0.0,0.0,0.0,0.0,0.0,-19.962,-19.945,-1.24,,0.0,0.0,-19.27,0.0,0.0,4.66,4.66,-19.27,-19.27,0.0,-19.27,0.0,0.345,0.327,-23.72,0.0,0.0,38.889,38.889,0.0,0.0,38.511,325414.0,60.4592,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
6181,2000-12-31,090945106,7.0,5.0,,,,0.0,,4.565,,,3.632,-0.379,3.632,1.293,83.014,65.085,4.098,1.8,36.2,11.508,14.127,14.127,0.141,0.0,2.024,3.708,0.0,5.732,7.596,11.704,0.45,,0.0,43.478,6.163,8.614,6.445,6.42,10.128,6.163,6.163,0.0,9.502,,26.073,10.681,7.66,54.986,54.986,72.886,,0.0,3.339,53.667,325413.0,571.2606,505.0,325413.0,In-Vitro Diagnostic Substance Manufacturing 
7164,2003-12-31,09099R939,7.0,5.0,2003-12-31,,,0.0,0.0,0.183,0.0,,0.0,-0.257,0.0,0.239,9.565,0.0,0.009,9.135,9.135,6.018,13.953,13.953,36.705,0.0,0.0,0.0,0.0,0.0,-6.046,-5.953,-0.54,,0.0,-5.953,-5.959,0.0,0.0,0.881,0.881,-5.959,-5.959,0.0,-5.959,,0.807,0.247,-28.021,0.065,0.065,8.684,8.684,0.0,0.0,8.437,325412.0,57.7654,504.0,325412.0,Pharmaceutical Preparation Manufacturing 
6988,2000-12-31,091283200,7.0,5.0,,,,0.0,,0.444,0.627,,0.363,0.134,0.341,2.897,26.333,0.0,0.689,0.691,0.691,19.777,6.028,6.028,16.856,0.0,0.155,0.354,0.0,6.836,0.196,2.937,-0.05,,,9.642,-0.321,13.693,0.0,3.052,9.862,-0.321,-0.321,0.0,-0.434,,12.127,6.968,-0.385,29.419,29.419,16.471,,0.0,-0.113,2.257,621210.0,2.8256,1779.0,621210.0,Offices of Dentists 
6085,2000-12-31,09175M507,7.0,5.0,,,,0.0,,0.548,,,0.029,-0.3,0.029,1.95,12.165,0.733,0.176,0.806,0.806,12.748,3.261,3.261,9.786,0.0,0.443,0.0,0.0,0.105,0.249,0.725,0.03,,1.018,5.135,0.095,1.018,5.144,3.562,3.624,0.095,0.095,0.4,0.199,,2.959,1.095,-1.978,17.883,17.883,8.541,,0.0,0.104,6.461,334419.0,5.5029,762.0,334419.0,Other Electronic Component Manufacturing 
14616,2004-12-31,091941104,,,,,,,,,,,,,,,,,,,,,,23.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
20794,2008-12-31,09215C105,7.0,5.0,2008-12-31,2009-04-03,2009-02-12,0.0,-13.667,62.787,72.9,,96.5,77.055,96.5,31.72,2103.633,111.849,23.012,125.966,125.966,1089.442,95.284,95.264,0.009,0.0,145.101,375.0,0.0,1547.451,445.51,538.926,2.37,,1091.056,772.467,230.888,1332.084,0.0,382.765,1901.232,230.888,230.888,0.0,378.756,0.0,237.919,95.542,79.873,1861.909,1861.909,191.149,191.149,0.582,146.667,170.942,522310.0,2805.5248,1436.0,522310.0,Mortgage and Nonmortgage Loan Brokers 
3435,2018-12-31,09225M101,7.0,5.0,2018-12-31,2019-03-26,,0.0,0.0,38.971,0.0,-2.226,16.71,11.555,16.71,4.149,1750.124,,297.335,5.414,5.414,82.779,204.692,204.692,,0.0,0.0,0.0,0.0,410.0,318.378,442.134,1.36,,0.0,526.789,295.536,0.0,0.0,64.766,547.5,295.536,274.511,0.0,295.56,0.0,3452.621,1575.881,,609.568,609.568,1202.624,1202.624,0.0,0.0,92.767,2111.0,3168.6322,134.0,2111.0,Oil and Gas Extraction
6756,2001-02-28,09228F103,7.0,3.0,,,,0.0,,0.0,,,12.011,7.675,12.011,45.892,970.063,0.0,68.146,508.822,721.927,133.852,78.271,78.271,890.644,0.0,0.198,6.328,0.0,6.526,-4.651,3.994,-0.08,,0.0,87.475,-6.211,0.0,68.044,60.802,67.13,-6.211,-6.211,0.0,3.52,,114.041,95.208,12.289,221.327,221.327,902.933,,0.0,9.731,796.263,334220.0,3028.1093,749.0,334220.0,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
758,2013-12-31,09238E104,7.0,5.0,2013-12-28,2014-04-08,2014-02-19,0.0,-2.873,36.038,6.817,0.0,65.945,-33.79,7.916,1583.546,1981.094,107.139,30.01,550.38,550.38,222.471,52.913,52.44,0.053,0.0,0.0,0.0,0.0,0.0,70.678,99.157,1.03,,133.521,915.617,54.104,232.21,0.0,1719.731,1752.93,54.104,53.397,0.0,83.548,0.0,161.911,79.663,114.102,1138.088,1138.088,221.168,228.164,0.126,29.862,-141.915,518210.0,307.8689,1405.0,518210.0,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
12052,2003-08-31,092479104,,,,,,,,,,,,,,,,,,,,,,26.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11438,2002-08-31,092481100,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
12068,2003-08-31,092484104,,,,,,,,,,,,,,,,,,,,,,5.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10880,2002-12-31,09248C106,,,,,,,,,,,,,,,,,,,,,,15.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10633,2001-10-31,09248E102,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10643,2001-10-31,09248F109,,,,,,,,,,,,,,,,,,,,,,37.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10653,2001-10-31,09248H105,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10663,2001-10-31,09248J101,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10893,2002-12-31,09248K108,,,,,,,,,,,,,,,,,,,,,,3.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10673,2001-10-31,09248L106,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
8059,2000-10-31,09248N102,,,,,,,,,,,,,,,,,,,,,,6.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
8673,2000-12-31,09248R103,,,,,,,,,,,,,,,,,,,,,,2.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
8679,2000-12-31,09248T109,,,,,,,,,,,,,,,,,,,,,,7.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11451,2002-08-31,09249A109,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10906,2002-12-31,09249C105,,,,,,,,,,,,,,,,,,,,,,6.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
10998,2002-10-31,09249E101,,,,,,,,,,,,,,,,,,,,,,27.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11202,2002-10-31,09249G106,,,,,,,,,,,,,,,,,,,,,,7.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11464,2002-08-31,09249H104,,,,,,,,,,,,,,,,,,,,,,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11477,2002-08-31,09249J100,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11490,2002-08-31,09249K107,,,,,,,,,,,,,,,,,,,,,,2.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11503,2002-08-31,09249L105,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11695,2003-08-31,09249N101,,,,,,,,,,,,,,,,,,,,,,22.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11516,2002-08-31,09249P106,,,,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11711,2003-08-31,09249R102,,,,,,,,,,,,,,,,,,,,,,4.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11727,2003-08-31,09249S100,,,,,,,,,,,,,,,,,,,,,,7.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
12084,2003-08-31,09249U105,,,,,,,,,,,,,,,,,,,,,,6.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
12591,2003-12-31,09249V103,,,,,,,,,,,,,,,,,,,,,,18.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
12967,2004-10-31,09249W101,,,,,,,,,,,,,,,,,,,,,,36.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
13287,2003-12-31,09249X109,,,,,,,,,,,,,,,,,,,,,,20.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
24363,2005-10-31,09249Y107,,,,,,,,,,,,,,,,,,,,,,26.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52599.0,,1489.0,52599.0,Other Financial Vehicles 
16017,2005-10-31,092501105,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
18624,2006-12-31,092508100,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17092,2006-12-31,09250B103,,,,,,,,,,,,,,,,,,,,,,13.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14191,2004-10-31,09250D109,,,,,,,,,,,,,,,,,,,,,,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
12100,2003-08-31,09250G102,,,,,,,,,,,,,,,,,,,,,,8.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
16650,2005-10-31,09250K103,,,,,,,,,,,,,,,,,,,,,,46.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
13303,2003-12-31,09250M109,,,,,,,,,,,,,,,,,,,,,,5.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
13637,2004-10-31,09250N107,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
15059,2007-10-31,09250U101,,,,,,,,,,,,,,,,,,,,,,29.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15540,2005-10-31,09250W107,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
16447,2005-10-31,09251A104,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
19404,2007-12-31,092524107,,,,,,,,,,,,,,,,,,,,,,98.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19592,2007-12-31,092533108,7.0,5.0,2007-12-31,2008-05-07,2008-03-12,0.0,,0.0,0.0,,2.426,-0.332,2.426,0.0,1121.821,790.377,0.0,,5.078,31.27,52.825,52.825,0.053,0.0,0.0,0.0,0.0,381.3,96.506,96.506,0.32,0.02,0.0,96.506,16.219,0.0,0.0,,393.629,16.219,16.219,0.0,16.219,0.0,0.0,0.0,,127.776,127.776,728.192,728.192,0.0,0.0,,523910.0,807.166,1452.0,523910.0,Miscellaneous Intermediation 
6263,2001-04-30,09253N104,,,,,,,,,,,,,,,,,,,,,,13.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
6966,2000-07-31,09253P109,,,,,,,,,,,,,,,,,,,,,,11.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
13059,2004-05-31,09253X102,,,,,,,,,,,,,,,,,,,,,,33.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
20141,2007-12-31,092546100,,,,,,,,,,,,,,,,,,,,,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7496,2001-04-30,09254A101,,,,,,,,,,,,,,,,,,,,,,12.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
18184,2006-12-31,09254B109,,,,,,,,,,,,,,,,,,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8252,2001-09-30,09254C107,,,,,,,,,,,,,,,,,,,,,,22.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
4271,2001-05-31,09254J102,,,,,,,,,,,,,,,,,,,,,,10.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
4311,2000-10-31,09254K109,,,,,,,,,,,,,,,,,,,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
6983,2000-06-30,09254L107,,,,,,,,,,,,,,,,,,,,,,9.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
6556,2000-08-31,09254P108,,,,,,,,,,,,,,,,,,,,,,10.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
7286,2000-07-31,09254X101,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
6536,2000-08-31,09255C106,,,,,,,,,,,,,,,,,,,,,,9.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
19103,2007-10-31,09255D104,,,,,,,,,,,,,,,,,,,,,,44.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13043,2004-05-31,09255F109,,,,,,,,,,,,,,,,,,,,,,4.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
12639,2003-10-31,09255H105,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
13075,2004-10-31,09255J101,,,,,,,,,,,,,,,,,,,,,,10.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
16719,2005-12-31,09255K108,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
6906,2001-05-31,09255M104,,,,,,,,,,,,,,,,,,,,,,35.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
11011,2002-08-31,09255N102,,,,,,,,,,,,,,,,,,,,,,18.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
12757,2003-08-31,09255P107,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
20585,2008-12-31,09255Q105,,,,,,,,,,,,,,,,,,,,,,8.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7204,2001-02-28,09255R202,,,,,,,,,,,,,,,,,,,,,,62.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
4226,2001-02-28,09255T109,,,,,,,,,,,,,,,,,,,,,,53.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
15211,2005-08-31,09255W102,,,,,,,,,,,,,,,,,,,,,,11.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
13460,2004-08-31,09255X100,,,,,,,,,,,,,,,,,,,,,,18.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
14503,2005-02-28,09255Y108,,,,,,,,,,,,,,,,,,,,,,10.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
14000,2004-12-31,09256A109,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
15805,2005-12-31,09256C105,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
16153,2005-12-31,09256E101,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
8890,2000-09-30,09256F108,,,,,,,,,,,,,,,,,,,,,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
22021,2010-12-31,09256U105,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23115,2011-12-31,09257A108,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22882,2011-12-31,09257D102,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2012-12-31,09257P105,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2012-12-31,09257R101,,,,,,,,,,,,,,,,,,,,,,41.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4469,2017-12-31,09258P104,,,,,,,,,,,,,,,,,,,,,,22.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17491,2012-12-31,09259E108,7.0,5.0,2012-12-31,2013-03-11,,0.0,0.0,0.0,0.0,0.0,1.221,-142.477,0.525,21.924,549.242,444.234,0.0,18.035,18.035,10.828,21.478,21.478,0.021,0.0,0.0,0.0,0.0,74.0,41.364,41.364,1.21,,0.0,41.364,27.536,0.0,0.0,,98.728,27.536,25.933,0.0,27.536,0.0,0.0,0.0,-128.267,52.192,52.192,450.514,450.514,0.0,0.0,,523999.0,,1457.0,523999.0,Miscellaneous Financial Investment Activities 
5314,2000-12-31,093698108,7.0,5.0,,,,0.0,,5.068,,,0.628,-1.257,0.0,2.833,62.834,24.143,0.368,0.363,0.363,43.973,8.444,7.613,0.008,0.0,6.632,0.0,0.0,16.184,7.525,10.526,0.47,,11.73,26.223,3.576,15.673,26.333,11.735,23.738,3.576,3.576,2.25,5.587,,13.674,7.644,21.231,70.196,70.196,39.096,,6.286,2.011,27.154,334220.0,23.7906,749.0,334220.0,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
5006,2018-12-31,093712107,7.0,5.0,2018-12-31,2019-04-05,,0.0,0.131,94.888,0.0,0.0,162.545,14.243,162.545,66.889,1389.668,2480.597,14.659,220.728,353.735,572.109,109.421,109.421,0.011,0.0,29.848,234.995,0.0,741.281,-144.457,-100.998,-2.26,,0.0,169.929,-241.753,0.0,132.476,279.666,1298.958,-241.753,-241.753,0.0,-257.952,0.0,719.792,481.414,-2572.269,742.038,742.038,-91.661,33.449,0.0,1.537,392.915,335312.0,1092.0216,791.0,335312.0,Motor and Generator Manufacturing 
17496,2012-12-31,094235108,7.0,5.0,2012-12-31,2013-03-20,2013-03-07,0.0,-14.801,71.933,14.6,,137.205,44.434,122.108,131.814,3016.553,1000.963,178.72,261.69,266.536,3310.23,121.148,121.148,1.211,0.0,22.991,329.422,0.0,1494.44,214.587,376.987,0.42,-0.1,270.972,677.565,49.971,848.753,78.181,691.378,2796.348,49.971,49.971,0.0,73.41,0.0,2333.741,1506.035,-787.886,3987.795,3987.795,214.288,220.205,0.0,12.106,-203.566,722511.0,1894.7547,1954.0,722511.0,Full-Service Restaurants 
