,IPO name,ticker,CUSIP,Date of IPO,IS_SPAC
3959,Curative Technologies,CURE,231264102,,False
3960,Fortis,FORT,34956C106,,False
3961,Fruehauf Trailer,FTC,359397106,,False
3962,Future Now,FNOW,360910103,,False
3963,State Auto Financial,STFC,855707105,,False
3964,ValueVision International,VVTVA,92047K107,,False
3965,Aspen Bancshares,ASBK,045243102,,False
3966,Revell-Monogram,RVL,761363100,,False
3967,AMBAC,ABK,023139108,,False
3968,Kaiser Aluminum,KLU,483007100,,False
3969,Omega Environmental,OMEG,682077102,,False
3970,Software Spectrum,SSPE,833960107,,False
3971,American Biodyne,ABDN,02461P102,,False
3972,IHOP,IHOP,449623107,,False
3973,InterWest Savings Bank,IWBK,460916109,,False
3974,Marvel Entertainment Group,MRV,573913100,,False
3975,Alkermes,ALKS,01642T108,,False
3976,Telecom of New Zealand,NZT,879278208,,False
3977,Amer Adjustable Rate Term-1997,CDJ,02368N10,,False
3978,Micronics Computers,MCRN,595127101,,False
3979,Osteotech,OSTE,688582105,,False
3980,Sun Television & Appliances,SNTV,866881105,,False
3981,Aerodyne Products,ADYN,007765100,,False
3982,Exel Limited,XL,G3242A102,,False
3983,Little Switzerland,LSVI,537528101,,False
3984,Teknekron Communications,TCSI,87911D106,,False
3985,Enquirer/Star Group,ENQ,293554101,,False
3986,Meris Laboratories,MERS,589848100,,False
3987,Avitar,AVIT,053794103,,False
3988,ReLife,RELF,75952N109,,False
3989,Sports Media,SPTS,848916102,,False
3990,Catherines Stores,CATH,14916F100,,False
3991,Interstate Bakeries,IBCC,46072H108,,False
3992,Koll Management Services,KOLL,500433107,,False
3993,Thermo Electron Technologies,TKN,88355T102,,False
3994,Vertex Pharmaceuticals,VRTX,92532F100,,False
3995,Video Lottery Technologies,VLTS,92656M105,,False
3996,GMIS,GMIS,361897101,,False
3997,R-Tek,RCORF,749914107,,False
3998,Monro Muffler Brake,MNRO,610236101,,False
3999,Progress Software,PRGS,743312100,,False
4000,Smart & Final,SMF,831683107,,False
4001,Wellfleet Communications,WFLT,949497101,,False
4002,Dianon Systems,DIAN,252826101,,False
4003,Genetic Therapy,GTII,371913104,,False
4004,AG Services of America,AGSV,001250109,,False
4005,Medicus Systems,MECS,58469K107,,False
4006,Singer NV,SEW,82930F109,,False
4007,Somatogen,SMTG,834449100,,False
4008,Biomatrix,BIOX,09060P102,,False
4009,Cellular Technical Services Co,CTSC,151167100,,False
4010,MGIC Investment,MTG,552848103,,False
4011,Oxford Health Plans,OXHP,691471106,,False
4012,Royal Appliance Manufacturing,RVAC,780076105,,False
4013,SyStemix,STMX,871872107,,False
4014,Mediplex Group,MPLX,584945109,,False
4015,Mediware Information Systems,MEDW,584946107,,False
4016,Sanborn,SBRN,799585104,,False
4017,Special Devices,SDII,847409109,,False
4018,Capital Bancorporation,CABK,13974410,,False
4019,Intergroup Healthcare,IGHC,45868J104,,False
4020,Laser-Pacific Media,LPAC,517923108,,False
4021,PharmChem Laboratories,PCHM,717133102,,False
4022,Rogers Cantel Mobile Commun,RCMIF,775102106,,False
4023,Candy's Tortilla Factory,CNDY,137493102,,False
4024,Restor Industries Inc,REST,76126V100,,False
4025,Sheffield Industries,HOSE,821188109,,False
4026,American Healthcorp,AMHC,02649V104,,False
4027,Community First Bankshares,CFBX,203902101,,False
4028,Licon International,LCON,531699106,,False
4029,Liuski International,LSKI,538029109,,False
4030,Sybase,SYBS,871130100,,False
4031,Fischer Imaging,FIMG,337719108,,False
4032,International Testing Services,ITSS,46048H109,,False
4033,Zebra Technologies,ZBRA,989207105,,False
4034,BMC West,BMCW,055926109,,False
4035,Vans,VANS,921930103,,False
4036,Jundt Growth Fund,,48171210,,False
4037,EZCORP,EZPW,302301106,,False
4038,FoxMeyer,FOX,351654108,,False
4039,Magic Software Enterprises,MGICF,559166103,,False
4040,Mutual Assurance,MAIC,62823T101,,False
4041,Saratoga Brands,STGA,80343810,,False
4042,MedAmicus,MEDM,584027106,,False
4043,Treadco,TRED,894545102,,False
4044,Trinity Capital Enterprise,TICO,896439106,,False
4045,IDEC Pharmaceuticals Corp,IDPH,44937010,,False
4046,Happy Mergers,,411392103,,False
4047,American Municipal Term Tr II,BXT,02765310,,False
4048,He-Ro Group,HRG,422047100,,False
4049,Maxum Health,MXH,57773T101,,False
4050,Minnesota Municipal Term Trust,MNA,60406510,,False
4051,Nuveen Insured Municipal Fund,NIO,67098410,,False
4052,Artisoft,ASFT,04314L106,,False
4053,Blackstone Muni Target Term Tr,BMN,09251410,,False
4054,Government Technologies,GTSI,383750106,,False
4055,HoloPak Technologies,HOLO,436451108,,False
4056,Money Store,MSI,60934T101,,False
4057,Sepracor,SEPR,817315104,,False
4058,Technology Solutions,TSCC,87872T108,,False
4059,InterCapital Quality Municipal,,45844F10,,False
4060,Super Rite Corporation,SUPR,867926107,,False
4061,Bon-Ton Stores,BONT,09776J101,,False
4062,CellPro,CPRO,151156106,,False
4063,Mobley Environmental Services,MBLYA,607419108,,False
4064,Ocean Optique Distributors,OPTQ,674864103,,False
4065,General Physics,GPH,370485104,,False
4066,MediVators,MVAT,584941108,,False
4067,Tecnol Medical Products,TCNL,878755107,,False
4068,Barra,BARZ,068313105,,False
4069,Paging Network,PAGE,695542100,,False
4070,York International Corporation,YRK,98667010,,False
4071,MicroProse,MPRS,59513N105,,False
4072,Sunrise Leasing,SUNL,86769K105,,False
4073,Sunbelt Nursery Group,SBN,866925100,,False
4074,ShopKo Stores,SKO,824911101,,False
4075,Grand Casinos,GRND,385269105,,False
4076,Medaphis,MEDA,584028104,,False
4077,Salton/Maxim Housewares,SALT,795757103,,False
4078,Stewart Enterprises,STEI,860370105,,False
4079,Anergen,ANRG,034602102,,False
4080,Body Drama,BDRM,096894100,,False
4081,Centigram Communications,CGRM,152317103,,False
4082,Megacards,MEGX,584948103,,False
4083,Presley,PDC,741030100,,False
4084,Veterinary Centers of America,VET,925514101,,False
4085,Argentina Fund,AF,04011210,,False
4086,RP Scherer,SHR,806528105,,False
4087,Right Start,RTST,766574107,,False
4088,Southwest Securities Group,SWST,845224104,,False
4089,US Robotics,USRX,91246610,,False
4090,Warnaco Group,WAC,934390105,,False
4091,Koo Koo Roo,KKRO,500485107,,False
4092,Bio-Dyne,BODY,09056E103,,False
4093,Lannet Data Communications,LANTF,516003100,,False
4094,Health Care and Retirement,HCR,421937103,,False
4095,Nuveen FL Quality Income Muni,NUF,67097810,,False
4096,Nuveen Michigan Quality Income,NUM,67097910,,False
4097,Nuveen NJ Quality Income Muni,NUJ,67098210,,False
4098,Nuveen OH Quality Income Fund,NUO,67098010,,False
4099,Nuveen PA Quality Income Muni,NUP,67098110,,False
4100,Nuveen TX Quality Income Fund,NTX,67098310,,False
4101,Read-Rite,RDRT,755246105,,False
4102,Noise Com,NCIS,65528E105,,False
4103,American BioMed,ABMI,02461T104,,False
4104,Latin America Equity Fund,LAQ,51827T10,,False
4105,Barefoot Grass,BARE,067512103,,False
4106,Gaylord Entertainment Company,GET,367901105,,False
4107,Old Dominion Freight Line,ODFL,679580100,,False
4108,United Wisconsin Services,UWSI,913236105,,False
4109,Century Federal Financial,CENF,15131U103,,False
4110,Goody's Family Clothing,GDYS,382588101,,False
4111,IMRS,IMRS,449696103,,False
4112,Mitek Surgical Products,MYTK,60671F108,,False
4113,Morgan Stanley Emerging Mkts,MSF,61744G10,,False
4114,Sports/Leisure,SPLE,848918108,,False
4115,AutoCam,ACAM,052907102,,False
4116,Jenny Craig,JC,224206102,,False
4117,Sage Alerting Systems,SASZ,78662K100,,False
4118,BET Holdings,BTV,086585106,,False
4119,Hoenig Group,HOEN,434396107,,False
4120,Supercuts,CUTS,868057100,,False
4121,GranCare,GRNC,385188107,,False
4122,Alteon,ALTN,02144G107,,False
4123,Marquette Electronics,MARQA,571474105,,False
4124,TNC Media,TNCI,87259G109,,False
4125,Custom Chrome Inc,CSTM,231905100,,False
4126,Advanced Interventional Sys,LAIS,007954100,,False
4127,DATEQ Information Network,DATQ,237916101,,False
4128,Interactive Network,INNN,45837P108,,False
4129,National Rehabilitation,NRCT,637365107,,False
4130,Athena Neurosciences,ATHN,046854105,,False
4131,Embrex,EMBX,290817105,,False
4132,NAMIC USA,NUSA,629867102,,False
4133,Vision Ten,VTEN,92831F306,,False
4134,Alliance Imaging,SCAN,018606103,,False
4135,Amphenol,APH,03209420,,False
4136,Diversicare,DVCR,255105108,,False
4137,Wabash National,WNC,929566107,,False
4138,Bally Gaming International,BGII,058731100,,False
4139,Pacific Physician Services,PPSI,694755109,,False
4140,Bradley Pharmaceuticals,BPRX,104576202,,False
4141,ENVIRx,ENVX,293945200,,False
4142,Harmony Holdings,HAHO,413223108,,False
4143,"Healthcare Imaging Services,",HISS,421939109,,False
4144,Micel,MICL,594054108,,False
4145,Guaranty National,GNC,401192109,,False
4146,"LaserSight, Inc.",LASE,517924106,,False
4147,Atlantic Tel-Network,ATNI,049079106,,False
4148,Biospecifics Technologies,BSTC,090931106,,False
4149,Horace Mann Educators,HOME,440327104,,False
4150,ARI Network Services,ARIS,001930106,,False
4151,Checkers Drive-In Restaurants,CHKR,162809107,,False
4152,Joy Technologies,JOY,481206100,,False
4153,South End Ventures,,837714104,,False
4154,ImClone Systems,IMCL,45245W10,,False
4155,Gencare Health Systems,GNCR,368674107,,False
4156,Insurance Auto Auctions,IAAI,457875102,,False
4157,Nuveen CA Quality Income Fund,NUC,67098510,,False
4158,Sports Heroes,SHRO,848914107,,False
4159,VAN KAMPEN MER PA QLTY MUNI TR,VPQ,92092410,,False
4160,VAN KAMPEN MERRITT MUNI TRUST,VKQ,92091910,,False
4161,America Service Group,ASGR,02364L109,,False
4162,Apple South,APSO,037857109,,False
4163,Duff & Phelps Utilities,DTF,26432510,,False
4164,Hamburger Hamlets Restaurants,HAMB,406764100,,False
4165,Information America,INFO,45669M108,,False
4166,MuniYield Fund Inc,MYD,626299101,,False
4167,Physicians Computer Network,PCNI,71940K109,,False
4168,Cytel Corp,CYTL,23282E100,,False
4169,Kimco Realty,KIM,49446R10,,False
4170,Seligman Quality Muni Fund,SQF,81634310,,False
4171,Stop & Shop,SHP,862099108,,False
4172,Broderbund Software,BROD,112014105,,False
4173,Nuveen NY Quality Income Fund,NUN,67098610,,False
4174,Agricultural Minerals LP,AMC,008527103,,False
4175,Bachman Information Sys Inc,BACH,056359102,,False
4176,SLM International,SLMI,784414104,,False
4177,VAN KAMPEN MER CA QLTY MUNI TR,VKM,92092010,,False
4178,VAN KAMPEN MER FL QLTY MUNI TR,VFM,92092110,,False
4179,VAN KAMPEN MER NY QLTY MUNI TR,VNM,92092210,,False
4180,VAN KAMPEN MER OH QLTY MUNI TR,VOQ,92092310,,False
4181,World Acceptance,WRLD,981419104,,False
4182,Aramed,,038525100,,False
4183,Aames Financial,AAMS,00253A101,,False
4184,Century Cellular Corp,CYCL,156493108,,False
4185,John B Sanfilippo & Son,JBSS,800422107,,False
4186,Conceptronic,CNCP,206010100,,False
4187,Financial Data Systems,FDSI,317463107,,False
4188,Intervisual Books,IVBK,460918105,,False
4189,Sam & Libby,SAML,795843101,,False
4190,Peer Review Analysis,PRAI,705478105,,False
4191,Jansko,JSKO,470892100,,False
4192,Jimbo's Jumbos,PNUT,477581102,,False
4193,Retix Corp,RETX,76129Y101,,False
4194,Epigen,EPIG,294259106,,False
4195,American Superconductor,AMSC,030111108,,False
4196,DNX,DNXX,233239102,,False
4197,Magainin Pharmaceuticals,MAGN,559036108,,False
4198,Owens-Illinois,OI,690768107,,False
4199,Vitesse Semiconductor Corp,VTSS,928497106,,False
4200,Ambar,AMBR,023162100,,False
4201,HealthTrust Inc-The Hospital,HTI,42221H107,,False
4202,Inforum,INFM,45678H108,,False
4203,Repossession Auction,REPO,76026R100,,False
4204,F&C International,FCIN,302364104,,False
4205,Internet Communications,INCC,46057T408,,False
4206,QUALCOMM,QCOM,747525103,,False
4207,Perrigo,PRGO,714290103,,False
4208,Affymax NV,AFMXF,008267106,,False
4209,CompUSA,CUSA,204932107,,False
4210,Genta,GNTA,37245M108,,False
4211,MetroVision of North America,MVTV,592666101,,False
4212,Tetra Tech,WATR,88162G103,,False
4213,Viewlogic Systems,VIEW,926721101,,False
4214,Fisher Scientific Intl,FSH,338032105,,False
4215,Syquest Technology,SYQT,871660106,,False
4216,TRM Copy Centers,TRMM,872636105,,False
4217,American Strategic Income,ASP,03009810,,False
4218,ComCentral,COMC,200304103,,False
4219,Lakehead Pipe Line Prtnrs LP,,511557100,,False
4220,Nuveen Premier Insured Fund,NIF,67098710,,False
4221,Nuveen Premier Muni Income,NPF,67098810,,False
4222,Perfumania,PRFM,713766103,,False
4223,Blackstone NA Govt Income Tr,BNA,09251710,,False
4224,Missimer & Associates,MSMR,605012103,,False
4225,Semiconductor Pkg Materials,SEM,816640106,,False
4226,Bell Bancorp,BELL,077902104,,False
4227,Pharmaceutical Marketing Svcs,PMRX,717123103,,False
4228,Royale Investments,RLIN,78074A10,,False
4229,SBS Engineering,SBSE,783941107,,False
4230,Allied Healthcare Products,AHPI,019222108,,False
4231,CliniCorp,BACK,187268107,,False
4232,Granite Broadcasting,GBTVK,387241102,,False
4233,Industrial Holdings,IHII,456160100,,False
4234,Global Health Sciences Fund,GHS,37932A102,,False
4235,Amylin Pharmaceuticals,AMLN,032346108,,False
4236,Arch Communications Group,APGR,039381108,,False
4237,CardioPulmonics,CRDS,141599100,,False
4238,Deprenyl USA,DUSA,249681107,,False
4239,Farrel,FARL,311667109,,False
4240,Engle Homes,ENGL,292896107,,False
4241,Menley & James,MENJ,586817108,,False
4242,Odd's-N-End's,ODDE,67574910,,False
4243,Protein Polymer Technologies,PPTI,743697203,,False
4244,Spectranetics,SPNC,84760C107,,False
4245,Tocor II,,888909108,,False
4246,Abaxis,ABAX,002567105,,False
4247,CitFed Bancorp,CTZN,173029109,,False
4248,Gilead Sciences,GILD,375558103,,False
4249,OTR Express,OTRX,671062107,,False
4250,PhyCor,PHYC,71940F100,,False
4251,Ventritex,VNTX,922814108,,False
4252,Walker Power,WPIC,931775100,,False
4253,American Rate Term Tr 1998,DDJ,02368P106,,False
4254,MedSonic,MSON,585050107,,False
4255,Sphinx Pharmaceuticals,SPHX,848418109,,False
4256,Whole Foods Markets,WFMI,966837106,,False
4257,Strategic Global Income Fund,SGL,862719101,,False
4258,Target Therapeutics,TGET,875919102,,False
4259,Fleet Call,CALL,338898109,,False
4260,Matrix Pharmaceutical,MATX,576844104,,False
4261,PCI Services,PCIS,693206104,,False
4262,Protein Design Labs,PDLI,74369L103,,False
4263,Varsity Spirit,VARS,922294103,,False
4264,AdvaCare,AVCR,00738B104,,False
4265,Margaretten Financial,MRG,566576104,,False
4266,National Re Holdings,NRE,637340209,,False
4267,Noel Group,NOEL,655260206,,False
4268,Nutrition Management Services,NMSCA,67061Y209,,False
4269,Corvas International,CVAS,221005101,,False
4270,ElectroCom Automation,ECA,285294104,,False
4271,Infinity Broadcasting,INFTA,456626100,,False
4272,Olympic Financial,OLYM,681593109,,False
4273,Zynaxis,ZYNX,989864103,,False
4274,Scotts,SCTT,810186106,,False
4275,Univax Biologics,UNVX,91335G109,,False
4276,EcoScience,ECSC,279218101,,False
4277,Medical Diagnostics,MDIX,58456B102,,False
4278,Sayett Group,SAYT,805691102,,False
4279,Dura Pharmaceuticals,DURA,26632S109,,False
4280,Integon,IN,45810F101,,False
4281,Preferred Income Opportunity,PFO,74037H104,,False
4282,Standish Care,STAN,854272101,,False
4283,InfoNow,INOW,456664101,,False
4284,Providential,PHIP,743942104,,False
4285,Defense Software & Systems,DSSI,244634101,,False
4286,Paracelsian,PRLN,698898103,,False
4287,Buttrey Food and Drug Stores,BTRY,124234105,,False
4288,Firstat of America,,33761B105,,False
4289,Frame Technology,FRAM,351688106,,False
4290,International Jensen,IJIN,459721106,,False
4291,Roper Industries,ROPR,776696106,,False
4292,ShoLodge,LODG,825034101,,False
4293,TNT Freightways,TNTF,87259J103,,False
4294,CytoRad/Cytogen,,232920207,,False
4295,Enhance Financial Services,EFS,293310108,,False
4296,Intertape Polymer Group,ITP,460919103,,False
4297,Korean Investment Fund Inc,KIF,500637105,,False
4298,Living Centers of America,LCA,538388109,,False
4299,Marcum Natural Gas Services,MGAS,566323200,,False
4300,Meadowbrook Rehabilitation Grp,MBRK,583200100,,False
4301,Providence Health Care,PHCI,743757106,,False
4302,Advantage Health,ADHC,00755P101,,False
4303,Agridyne Technologies,AGRI,00853T104,,False
4304,Document Technologies Inc,DTII,256153206,,False
4305,VAN KAMPEN MER TR INVT GR MUNI,VGM,92092910,,False
4306,VAN KAMPEN MERRITT TR INSURD M,VIM,92092810,,False
4307,American Business Information,ABII,02476F107,,False
4308,Chemtrak,CMTR,163877103,,False
4309,First Commonwealth Fund Inc,FCO,31983F102,,False
4310,INTERCAPITAL INSURED MUNI TR,IMT,45844D10,,False
4311,Las Vegas Entertainment,LVEN,517669107,,False
4312,Access Health Marketing,ACCS,00431L102,,False
4313,Blackstone Insured Municipal,BMT,092506104,,False
4314,MuniYield California Fund,MYC,626296107,,False
4315,MuniYield Florida Fund Inc,MYF,626297105,,False
4316,MuniYield Michigan Fund Inc,MYM,626300107,,False
4317,MuniYield New York Insured,MYN,626301105,,False
4318,North American Recycling,NAR,65707710,,False
4319,Scholastic,SCHL,807066105,,False
4320,Litchfield Financial,LTCH,536619109,,False
4321,SPS Transaction Services,PAY,784627101,,False
4322,Coleman,CLN,193559101,,False
4323,Forstmann,FSTM,34659270,,False
4324,HCA-Hospital Corp of America,HCA,404120107,,False
4325,I-Stat,STAT,450312103,,False
4326,Musicland Stores,MLG,62758B109,,False
4327,Synopsys,SNPS,871607107,,False
4328,Callaway Golf,ELY,131193104,,False
4329,Cross Timbers Royalty Trust,CRT,22757R109,,False
4330,LifeCell,LIFC,531927101,,False
4331,Smith Barney Intermed Muni Fd,SBI,831802103,,False
4332,Abbey Healthcare Group,ABBY,002786101,,False
4333,Heart Technology,HRTT,42233W100,,False
4334,Enhanced Imaging Technologies,EITI,293311106,,False
4335,Toastmaster,TM,888791100,,False
4336,Vitalink Pharmacy Services,VTLK,92846E104,,False
4337,Endosonics,ESON,29264K105,,False
4338,Foodmaker,FM,344839204,,False
4339,Opta Food Ingredients,OPTS,68381N105,,False
4340,Premier Anesthesia,PRAN,740462106,,False
4341,SMT Health Services,SHED,784585101,,False
4342,BIOTIME,BTIM,09066L105,,False
4343,DSG International,DSGIF,G28471103,,False
4344,Dames & Moore,DMOR,235713104,,False
4345,Delta Queen Steamboat,DQSB,24779L102,,False
4346,Gibraltar Packaging Group,PACK,374758100,,False
4347,PolyMedica Industries,POLY,731738100,,False
4348,American Income Holdings,AIH,026728105,,False
4349,PILGRIM PRIME RATE TRUST,PPR,72146M10,,False
4350,Biosys,BIOS,09066N101,,False
4351,Celox,CELX,151179108,,False
4352,APPLIED LASER SYSTEMS,LZZRA,03820M202,,False
4353,United Retail Group,URGI,911380103,,False
4354,Day Runner,DAYR,239545106,,False
4355,Valassis Communications,VCI,918866104,,False
4356,Duff & Phelps,DUF,264322108,,False
4357,El Paso Natural Gas,EPG,283695872,,False
4358,Lone Star Steakhouse & Saloon,STAR,542307103,,False
4359,Pet Products,PETS,715843108,,False
4360,Back Bay Restaurants Group,PAPA,05635V103,,False
4361,Cellcor,CLTX,151155108,,False
4362,Glacier Water Services,HOO,376395109,,False
4363,First Western,FWCO,337527105,,False
4364,Health o meter Products,SCAL,421941105,,False
4365,SciClone Pharmaceuticals,SCLN,80862K104,,False
4366,Fred's,FRED,356108100,,False
4367,Serving Software,SERV,817661101,,False
4368,Summit Care,SUMC,865910103,,False
4369,America Online,AMER,02364J104,,False
4370,Bisys Group,BSYS,055472104,,False
4371,Burlington Industries Equity,BUR,121690101,,False
4372,Curaflex Health Services,CFLX,231263104,,False
4373,Lincare Holdings,LNCR,532791100,,False
4374,Nuveen Select Tax-Free Income,NXP,67062F100,,False
4375,Telios Pharmaceuticals,TLIO,87960N104,,False
4376,Triconex,TCNX,896116100,,False
4377,USA Truck,USAK,902925106,,False
4378,Chronimed,CHMD,171164106,,False
4379,MuniYield Insured Fund Inc,MYI,62630E107,,False
4380,Schuler Homes,SHLR,808188106,,False
4381,Protocol Systems,PCOL,74371R106,,False
4382,Coastal Banc Savings Assn,CBSA,190415109,,False
4383,Coltec Industries,COT,196879100,,False
4384,CytoTherapeutics,CTII,232923102,,False
4385,DAMARK International,DMRK,235691102,,False
4386,Satellite Technology,STMI,804012102,,False
4387,Vital Living Products,VLPI,92846B100,,False
4388,Walker Interactive Systems,WALK,931664106,,False
4389,Avecor Cardiovascular,AVEC,053547105,,False
4390,Catalina Marketing,POS,148867104,,False
4391,Natural Earth Technologies,NETX,638850107,,False
4392,Kendall Square Research,KSRC,488789108,,False
4393,Liberty Term Trust Inc,LTT,531282101,,False
4394,Eskimo Pie,EPIE,296443104,,False
4395,Xircom,XIRC,983922105,,False
4396,Braun's Fashions,BFCI,10565810,,False
4397,Capitol Multimedia,CDIM,140628207,,False
4398,Chicago and North Western Hldg,CNW,167155100,,False
4399,ICU Medical,ICUI,44930G107,,False
4400,Longhorn Steaks,LOHO,543057103,,False
4401,M-Wave,MWAV,554034108,,False
4402,Sybron Chemical Industries,SYCM,870903101,,False
4403,Mohawk Industries,MOHK,608190104,,False
4404,Seragen,SRGN,817474109,,False
4405,Brazilian Equity Fund Inc,BZL,105884100,,False
4406,ChipSoft,CSFT,170027106,,False
4407,NCI Building Systems,BLDG,628852105,,False
4408,Pomeroy Computer Resources,PMRY,731822102,,False
4409,Waste Management Intl PLC,WME,94090610,,False
4410,ERO,EROI,268911104,,False
4411,VideoTelecom,VTEL,92658N101,,False
4412,Capital Re,KRE,140432105,,False
4413,Empresas ICA,ICA,292448107,,False
4414,Bell Sports,BSPT,077903102,,False
4415,First Data,FDC,319963104,,False
4416,Simula,SIMU,829206101,,False
4417,3CI Complete Compliance,TCCC,88553J104,,False
4418,ADESA,SOLD,000892109,,False
4419,Affinity Biotech,AFBI,008265100,,False
4420,Men's Wearhouse,SUIT,587118100,,False
4421,Mr Bulb,BULB,60646H205,,False
4422,Chromcraft Revington,CROM,171117104,,False
4423,Kopin,KOPN,500600101,,False
4424,Option Care,OPTN,683948103,,False
4425,Princeton Dental Management,PDMC,741872105,,False
4426,Worthington Foods,WFDS,981809106,,False
4427,AGCO,AGCO,001084102,,False
4428,First Mortgage,FMOR,321008104,,False
4429,Minnesota Municipal Term Trust,MNB,604066100,,False
4430,Teledata Communication,TLDCF,M8762U100,,False
4431,CliniCom,CLIN,18726L108,,False
4432,GraceCare Health Systems,GCHS,384055109,,False
4433,Software Etc Stores,SFWR,834031106,,False
4434,Sportstown,SPTN,849198106,,False
4435,Stein Mart,SMRT,858375108,,False
4436,Younkers,YONK,987767100,,False
4437,Arcadian Partners LP,,039230107,,False
4438,Blackstone Investment Quality,BQT,09247J102,,False
4439,Voyegeur MN Muni Income Fund,VMN,928922103,,False
4440,Morningstar Group,MSTR,617698105,,False
4441,MuniYield New Jersey Fund Inc,MYJ,62630L101,,False
4442,Orthofix International,OFIX,N6748L102,,False
4443,Ben Franklin Retail Stores,BFRS,081499105,,False
4444,International Family,FAM,45950M105,,False
4445,Learning,LRNG,522006105,,False
4446,Natural Child Care,NACC,638847103,,False
4447,Neozyme II Corp/Genzyme Corp.,,G6420H112,,False
4448,Premiere Radio Networks,PRNI,740582101,,False
4449,Solo Serve,SOLO,834263105,,False
4450,Galey & Lord,GANL,36352K103,,False
4451,Intermedia Communications,ICIX,458801107,,False
4452,On The Border Cafes,OTBC,682198106,,False
4453,Automotive Industries Holding,AIHI,05329E102,,False
4454,H&Q Life Sciences Investors,HQL,404053100,,False
4455,Metricom,MCOM,591596101,,False
4456,MedQuist,MEDQ,584949101,,False
4457,All For A Dollar,ADLR,01662K102,,False
4458,Reliance Electric,REE,759458102,,False
4459,Buckle,BKLE,118440106,,False
4460,Lida,LIDA,531704104,,False
4461,Lukens Medical,LUKN,549870103,,False
4462,American Funeral Services,AMFS,026302109,,False
4463,Stac Electronics,STAC,852323104,,False
4464,Sybron,SYB,87114F106,,False
4465,Valence Technology,VLNC,918914102,,False
4466,Network Imaging,IMGX,64121B105,,False
4467,Universal Seismic Associates,USAC,913828109,,False
4468,Dyersburg,DBG,267575108,,False
4469,VAN KAMPEN MER TR GR INVT PA M,VTP,92093410,,False
4470,VAN KAMPEN MER TR INVT GR FL M,VTF,92093210,,False
4471,VAN KAMPEN MER TR INVT GR NJ M,VTJ,92093310,,False
4472,VAN KAMPEN MER TR INVT GR NY M,VTN,92093110,,False
4473,Arkansas Best,ABFS,040790107,,False
4474,Basin Exploration,BSNX,070107107,,False
4475,Bitwise Designs,BTWS,091747105,,False
4476,Natural Wonders,NATW,639014109,,False
4477,TheraTech,THRT,883383101,,False
4478,Biocircuits,BIOC,09058W101,,False
4479,Enzymatics,ENZY,293951109,,False
4480,Krystal,KRYS,501148100,,False
4481,Ophthalmic Imaging Systems,OISI,683737100,,False
4482,Trinity Capital Opportunity,TOCO,896443108,,False
4483,VMark Software,VMRK,928561109,,False
4484,Zam's,ZAMS,988898102,,False
4485,Billy Blues Food,BBBQ,090186206,,False
4486,SuperMac Technology,SMAC,868433103,,False
4487,Boston Scientific,BSX,101137107,,False
4488,Cardiovascular Imaging Systems,CVIS,14160M108,,False
4489,Imperial Credit Industries,ICII,452729106,,False
4490,Kohl's,KSS,500255104,,False
4491,John Nuveen,JNC,478035108,,False
4492,National Vision Associates,NVAL,638459107,,False
4493,Holson Burnes Group,HBGI,436464101,,False
4494,International Fast Food,FOOD,45950Q107,,False
4495,Nuveen Select Tax-Free 2,NXQ,67063C106,,False
4496,Optical Data Systems,ODSI,68382J103,,False
4497,Hall-Mark Electronics,HMEC,406081109,,False
4498,First USA,FUS,33743H105,,False
4499,Datawatch,DWCH,237917109,,False
4500,Financial Federal,FINF,317492106,,False
4501,Reno Air,RENO,759741101,,False
4502,U.S. Physical Therapy,USPH,90337L108,,False
4503,PerSeptive Biosystems,PBIO,715271102,,False
4504,Sapiens International,SPNS,N7716A102,,False
4505,Steris,STRL,859152100,,False
4506,Franklin Quest,FNQ,354596108,,False
4507,Rival,RIVL,768020109,,False
4508,VAN KAMPEN MER TR INVT GR CA M,VIC,92093010,,False
4509,VAN KAMPEN MERRITT MUNI OPPTY,VMO,92093510,,False
4510,Hook-SupeRx,HSX,439006107,,False
4511,Quantum Restaurant Group,QRST,74763T108,,False
4512,Salem Sportswear,SALM,794499103,,False
4513,United States Paging,USPC,91233F104,,False
4514,Bed Bath & Beyond,BBBY,075896100,,False
4515,Netframe Systems,NETF,641106109,,False
4516,Network Computing Devices,NCDI,64120N100,,False
4517,Today's Man,TMAN,888910106,,False
4518,Credit Acceptance,CACC,225310101,,False
4519,DR Horton,DRHI,23331A109,,False
4520,Kronos,KRON,501052104,,False
4521,RehabClinics,RCII,75915F102,,False
4522,Arrow International,ARRO,042764100,,False
4523,Express Scripts,ESRX,302182100,,False
4524,Finish Line,FINL,317923100,,False
4525,Intramed Laboratories,ITML,461172108,,False
4526,Nyer Medical Group,NYER,670711100,,False
4527,Universal Hospital Services,UHOS,91359L109,,False
4528,General Instrument,GIC,370121105,,False
4529,Laser Video Network,LVNI,517925103,,False
4530,Equitrac,ETRC,294599105,,False
4531,Broadway & Seymour,BSIS,111433108,,False
4532,Columbia Banking System,COLB,197236102,,False
4533,Latin American Discovery Fund,LDF,51828C106,,False
4534,Emerging Markets Tele Fund Inc,ETF,290887108,,False
4535,Hampshire Group,HAMP,408859106,,False
4536,RT Industries,RTIC,74974G101,,False
4537,Riverwood International,RVW,769507104,,False
4538,Cone Mills,COE,206814105,,False
4539,CrossComm,XCOM,22757K104,,False
